,random,naive,mfr,recommender,recommender one-hot,tcn,tcn one-hot,zero,parrot
0,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334,0.9999999999868334
1,1.9999999998506859,1.99999999994245,1.9999999998506859,1.999999999831554,1.9999999998506852,1.999999999847441,1.9999999998506857,1.9999999999062688,1.999999999850686
2,2.9999999996067195,2.9999999998078906,2.999999999654942,2.99999999962352,2.9999999996067177,2.999999999720618,2.9999999996067186,2.9999999997619424,2.260588021466382
3,3.9999999997362368,3.9999999998696625,3.9999999997644085,3.999999999713334,3.999999999736234,3.9999999998491047,3.9999999997389617,3.9999999998380362,2.6069139964064934
4,4.999999998476698,4.999999998627623,4.999999998480357,4.999999998508517,4.999999998426886,4.999999998658035,4.999999998540634,4.999999998649122,3.0186069196997893
5,4.999999998906018,4.999999999068304,4.999999998888706,4.99999999893995,4.999999998816872,4.9999999990313855,4.999999998943111,4.999999999056714,2.483784189476592
6,4.9999999988484936,4.999999999085601,4.999999998817427,4.999999998958681,4.9999999987816475,4.999999998991226,4.999999998929931,4.999999999024654,2.4837841894874466
7,4.999999998801473,4.999999999133591,4.99999999877212,4.999999998989775,4.999999998787162,4.999999999023713,4.720196113390708,4.999999999046579,2.483784189520516
8,4.999999998854417,4.99999999917711,4.999999998763861,4.999999999008395,4.999999998849314,4.99999999905188,4.720196113441574,4.999999999060267,2.4837841895827464
9,4.9999999988948165,4.999999999238685,4.999999998771348,4.999999999045928,4.999999998858911,4.9999999991011945,4.720196113489451,4.9999999990867865,2.4837841896417197
10,4.9999999989556985,4.9999999992674615,4.999999998738016,4.999999999104144,4.999999998911525,4.999999999106236,4.7201961135023955,4.999999999145794,2.2643096069532045
11,4.9999999990068265,4.999999999281911,4.999999998777746,4.99999999914699,4.999999998935086,4.999999999137775,4.720196113494257,4.9999999991270645,2.264309607014532
12,4.999999998899158,4.999999999325098,4.999999998806583,4.999999999160757,4.999999998975389,4.999999999133404,4.720196113460496,4.999999999140365,2.0828419369637996
13,4.99999999885135,4.999999999340941,4.999999998837955,4.9999999991675415,4.999999999010218,4.999999999127123,4.720196113502622,4.99999999914725,1.9109249027678545
14,4.9999999988405,4.9999999993760085,4.999999998756913,4.999999999168955,4.999999998961852,4.999999999129955,4.720196113512708,4.999999999159351,1.7476034105914373
15,4.999999998826161,4.999999999400993,4.999999998764027,4.99999999917056,4.999999998911624,4.999999999134872,4.7201961134607,4.9999999991223545,1.5724822691794886
